Graph4
Time (Seconds),x (Meters),Y (Meters),Z (Meters)
7.500000,6.676919,-2.434615,0.237312
7.550000,6.680336,-2.431150,0.237328
7.600000,6.683140,-2.427162,0.237307
7.650000,6.686417,-2.423551,0.237312
7.700000,6.689856,-2.420106,0.237327
7.750000,6.693258,-2.416615,0.237325
7.800000,6.696723,-2.413081,0.237270
7.850000,6.700051,-2.409663,0.237337
7.900000,6.703454,-2.406184,0.237337
7.950000,6.706881,-2.402670,0.237316
8.000000,6.710279,-2.399178,0.237318
8.050000,6.713675,-2.395704,0.237324
8.100000,6.717150,-2.392177,0.237272
8.150001,6.720530,-2.388714,0.237300
8.200000,6.723929,-2.385230,0.237301
8.250000,6.727326,-2.381755,0.237301
8.300000,6.730736,-2.378261,0.237299
8.350000,6.734585,-2.375132,0.237288
8.400001,6.738296,-2.371897,0.237240
8.450000,6.741703,-2.368523,0.237273
8.500000,6.745185,-2.365044,0.237236
8.550000,6.748604,-2.361586,0.237248
8.600000,6.752024,-2.358135,0.237250
8.650001,6.754976,-2.354318,0.237247
8.700000,6.758251,-2.350509,0.237248
8.750000,6.761055,-2.346548,0.237253
8.800000,6.764006,-2.342657,0.237284
8.850000,6.767399,-2.339143,0.237263
8.900001,6.770739,-2.335660,0.237293
8.950000,6.774082,-2.332140,0.237300
9.000000,6.777429,-2.328616,0.237305
9.050000,6.780770,-2.325096,0.237314
9.100000,6.784122,-2.321570,0.237315
9.150001,6.786823,-2.317467,0.237315
9.200000,6.790242,-2.313818,0.237326
9.250000,6.794279,-2.310824,0.237296
9.300000,6.797980,-2.307565,0.237308
9.350000,6.801297,-2.304060,0.237323
9.400001,6.804646,-2.300538,0.237335
9.450000,6.808012,-2.297017,0.237335
9.500000,6.811960,-2.294086,0.237318
9.550000,6.815564,-2.290760,0.237303
9.600000,6.818890,-2.287294,0.237321
9.650001,6.822308,-2.283772,0.237303
9.700000,6.825678,-2.280299,0.237316
9.750000,6.829093,-2.276796,0.237305
9.800000,6.832099,-2.272884,0.237290
9.850000,6.835199,-2.269165,0.237322
9.900001,6.838585,-2.265558,0.237285
9.950000,6.841944,-2.262021,0.237282
10.000000,6.844857,-2.258964,0.237610
10.050000,6.847304,-2.255620,0.237448
10.100000,6.850395,-2.251849,0.237253
10.150001,6.853663,-2.248294,0.237287
10.200000,6.856981,-2.244736,0.237293
10.250000,6.860333,-2.241160,0.237274
10.300000,6.864082,-2.238085,0.237278
10.350000,6.867626,-2.234870,0.237281
10.400001,6.871003,-2.231398,0.237281
10.450000,6.874373,-2.227895,0.237278
10.500000,6.877737,-2.224381,0.237279
10.550000,6.881095,-2.220862,0.237279
10.600000,6.884025,-2.216819,0.237279
10.650001,6.887111,-2.213074,0.237280
10.700000,6.890409,-2.209493,0.237285
10.750000,6.894081,-2.206427,0.237283
10.800000,6.897648,-2.203072,0.237294
10.850000,6.901001,-2.199564,0.237297
10.900001,6.904356,-2.196062,0.237302
10.950000,6.907711,-2.192556,0.237307
11.000000,6.911067,-2.189040,0.237313
11.050000,6.914424,-2.185528,0.237318
11.100000,6.917780,-2.182015,0.237322
11.150001,6.921139,-2.178498,0.237325
11.200000,6.925921,-2.173563,0.237411
11.250000,6.931552,-2.166854,0.237309
11.300000,6.936165,-2.160149,0.237309
11.350000,6.939685,-2.153544,0.237325
11.400001,6.941974,-2.147015,0.237322
11.450000,6.942856,-2.140976,0.237323
11.500000,6.942540,-2.134995,0.237327
11.550000,6.940817,-2.129167,0.237311
11.600000,6.937511,-2.123787,0.237303
11.650001,6.932739,-2.119481,0.237276
11.700000,6.927257,-2.116279,0.237258
11.750000,6.922126,-2.114778,0.237267
11.800000,6.917630,-2.114656,0.237301
11.850000,6.913985,-2.115433,0.237316
11.900001,6.911196,-2.116481,0.237347
11.950000,6.909357,-2.117048,0.237367
12.000000,6.908492,-2.117030,0.237369
12.050000,6.908160,-2.116812,0.237347
12.100000,6.907847,-2.116648,0.237343
12.150001,6.907528,-2.116493,0.237346
12.200000,6.907211,-2.116335,0.237345
12.250000,6.906892,-2.116180,0.237342
12.300000,6.906573,-2.116026,0.237343
12.350000,6.906253,-2.115869,0.237341
12.400001,6.905935,-2.115714,0.237341
12.450000,6.905614,-2.115560,0.237340
12.500000,6.905294,-2.115406,0.237340
12.550000,6.904977,-2.115257,0.237339
12.600000,6.904657,-2.115107,0.237339
12.650001,6.904333,-2.114960,0.237340
12.700000,6.904014,-2.114814,0.237339
12.750000,6.903695,-2.114668,0.237337
12.800000,6.903375,-2.114525,0.237338
12.850000,6.903054,-2.114382,0.237339
12.900001,6.902733,-2.114236,0.237338
12.950000,6.902411,-2.114096,0.237336
13.000000,6.902091,-2.113956,0.237337
13.050000,6.901764,-2.113814,0.237336
13.100000,6.901440,-2.113675,0.237335
13.150001,6.901113,-2.113539,0.237336
13.200000,6.900788,-2.113403,0.237335
13.250000,6.900462,-2.113266,0.237337
13.300000,6.900138,-2.113131,0.237334
13.350000,6.899812,-2.112997,0.237335
13.400001,6.899487,-2.112865,0.237335
13.450000,6.899159,-2.112732,0.237335
13.500000,6.898832,-2.112602,0.237335
13.550000,6.898505,-2.112471,0.237334
13.600000,6.898174,-2.112342,0.237334
13.650001,6.897845,-2.112215,0.237334
13.700000,6.897518,-2.112089,0.237336
13.750000,6.897192,-2.111961,0.237333
13.800000,6.896866,-2.111835,0.237334
13.850000,6.896537,-2.111712,0.237335
13.900001,6.896207,-2.111587,0.237336
13.950000,6.895878,-2.111460,0.237331
14.000000,6.895549,-2.111340,0.237335
14.050000,6.895220,-2.111219,0.237333
14.100000,6.894887,-2.111101,0.237335
14.150001,6.894560,-2.110983,0.237333
14.200000,6.894226,-2.110867,0.237334
14.250000,6.893899,-2.110752,0.237335
14.300000,6.893566,-2.110633,0.237333
14.350000,6.893233,-2.110517,0.237332
14.400001,6.892899,-2.110406,0.237333
14.450000,6.892562,-2.110292,0.237332
14.500000,6.892226,-2.110181,0.237336
14.550000,6.891890,-2.110070,0.237337
14.600000,6.891559,-2.109962,0.237334
14.650001,6.891227,-2.109859,0.237335
14.700000,6.890893,-2.109752,0.237335
14.750000,6.890553,-2.109646,0.237336
14.800000,6.890220,-2.109541,0.237335
